level,tag,value,instructions
4,originator-publisher,,If the originator/publisher is a person who exists in InPort; enter their email address here (do not enter their name). If the originator/publisher is an organization that exists in InPort; enter the organization name; exactly as it appears in InPort; here. If the originator/publisher is a person or organization that does not exist in InPort; enter the person/organization name here.
2,lineage-process-steps,HEAD,
3,lineage-process-step,HEAD,
4,sequence-number,1,REQUIRED. Enter the sequence number (should be a positive integer).
4,description,description needed,REQUIRED. Enter a description for the process step.
4,process-contact-type,Non-InPort Person/Organization,"Indicate the type of process contact related to the lineage process step. The value here must be one of the following values: ""InPort Person""; ""InPort Organization""; or ""Non-InPort Person/Organization""."
4,process-contact,,If the process contact is a person who exists in InPort; enter their email address here (do not enter their name). If the process contact is an organization that exists in InPort; enter the organization name; exactly as it appears in InPort; here. If the process contact is a person or organization that does not exist in InPort; enter the person/organization name here.
1,child-items,HEAD,NA
2,child-item,HEAD,NA
3,catalog-item-id,54018,REQUIRED. Enter the cat ID of the item to create a related item link to. The catalog item linked to must have a linking share level that allows creating a related item        link to it.      
3,catalog-item-type,Entity,NA
3,title,ENT2,NA
1,catalog-details,HEAD,
2,metadata-record-created-by,Sean  Hardison,NA
2,metadata-record-created,2018-10-02T12:25:33,NA
2,metadata-record-last-modified-by,Sean  Hardison,NA
2,metadata-record-last-modified,2018-10-02T12:25:33,NA
2,owner-organization,Northeast Fisheries Science Center,NA
2,owner-organization-acronym,NEFSC,NA
2,owner-organization-address,166 Water Street,NA
2,owner-organization-address-city,Woods Hole,NA
2,owner-organization-address-state,MA,NA
2,owner-organization-address-zip,02543-1026,NA
2,owner-organization-address-country,USA,NA
2,owner-organization-phone,(508)495-2000,NA
2,owner-organization-url,http://www.nefsc.noaa.gov,NA
2,owner-organization-business-hours,8:00 a.m. to 4:30 p.m. Monday - Friday,NA
2,publication-status,Never Published,NA
2,is-do-not-publish,No,Enter Yes or No; in regards to whether or not this item and its children are      allowed to be published. Defaults to No.    
2,linking-share-level,Public,Enter one of the following values: Across the InPort Catalog; Within this      Item's Library; Within this Item's Project. Defaults to Across the InPort Catalog.    
